cycle,state,raised_from_pacs,raised_from_individuals,raised_total,text
1990,  ,0.0,0.0,0,Total PAC contribution:0.0<br>Total Individual Contributions: 0.0
1990,AK,1369517.0,634235.0,2771479,Total PAC contribution:1369517.0<br>Total Individual Contributions: 634235.0
1990,AL,4555463.0,4177211.0,12214503,Total PAC contribution:4555463.0<br>Total Individual Contributions: 4177211.0
1990,AR,1934737.0,1649868.0,5710487,Total PAC contribution:1934737.0<br>Total Individual Contributions: 1649868.0
1990,AS,21568.0,48726.0,248010,Total PAC contribution:21568.0<br>Total Individual Contributions: 48726.0
1990,AZ,949119.0,782224.0,2708155,Total PAC contribution:949119.0<br>Total Individual Contributions: 782224.0
1990,CA,12859463.0,15193950.0,47071115,Total PAC contribution:12859463.0<br>Total Individual Contributions: 15193950.0
1990,CO,6713204.0,5077040.0,19010325,Total PAC contribution:6713204.0<br>Total Individual Contributions: 5077040.0
1990,CT,2677151.0,2338819.0,7881034,Total PAC contribution:2677151.0<br>Total Individual Contributions: 2338819.0
1990,DC,221111.0,374541.0,1273066,Total PAC contribution:221111.0<br>Total Individual Contributions: 374541.0
1990,DE,1806114.0,2161536.0,4770050,Total PAC contribution:1806114.0<br>Total Individual Contributions: 2161536.0
1990,FL,6625600.0,6958649.0,21102698,Total PAC contribution:6625600.0<br>Total Individual Contributions: 6958649.0
1990,GA,4035147.0,3287302.0,11400466,Total PAC contribution:4035147.0<br>Total Individual Contributions: 3287302.0
1990,GU,25055.0,32699.0,147326,Total PAC contribution:25055.0<br>Total Individual Contributions: 32699.0
1990,HI,4935369.0,4270675.0,13250395,Total PAC contribution:4935369.0<br>Total Individual Contributions: 4270675.0
1990,IA,7076457.0,5267404.0,23633729,Total PAC contribution:7076457.0<br>Total Individual Contributions: 5267404.0
1990,ID,3995006.0,1399922.0,7813819,Total PAC contribution:3995006.0<br>Total Individual Contributions: 1399922.0
1990,IL,15518021.0,13769067.0,48016420,Total PAC contribution:15518021.0<br>Total Individual Contributions: 13769067.0
1990,IN,9455972.0,6197069.0,24802469,Total PAC contribution:9455972.0<br>Total Individual Contributions: 6197069.0
1990,KS,2067758.0,1156598.0,4554163,Total PAC contribution:2067758.0<br>Total Individual Contributions: 1156598.0
1990,KY,3550006.0,3877849.0,12523047,Total PAC contribution:3550006.0<br>Total Individual Contributions: 3877849.0
1990,LA,3951173.0,4098963.0,12898107,Total PAC contribution:3951173.0<br>Total Individual Contributions: 4098963.0
1990,MA,2956607.0,6718132.0,14393647,Total PAC contribution:2956607.0<br>Total Individual Contributions: 6718132.0
1990,MD,2970590.0,2376455.0,8426800,Total PAC contribution:2970590.0<br>Total Individual Contributions: 2376455.0
1990,ME,1739230.0,2813286.0,6781873,Total PAC contribution:1739230.0<br>Total Individual Contributions: 2813286.0
1990,MI,10380991.0,8517211.0,31076909,Total PAC contribution:10380991.0<br>Total Individual Contributions: 8517211.0
1990,MN,5066012.0,4224594.0,12025789,Total PAC contribution:5066012.0<br>Total Individual Contributions: 4224594.0
1990,MO,4446107.0,2825922.0,10545084,Total PAC contribution:4446107.0<br>Total Individual Contributions: 2825922.0
1990,MS,2301892.0,1653038.0,5951924,Total PAC contribution:2301892.0<br>Total Individual Contributions: 1653038.0
