,State,Total
0,AK,13792611.350000001
1,AL,23502198.21
2,AR,12895653.54
3,AS,36300.0
4,AZ,85714438.44999999
5,CA,199928491.29
6,CO,37693808.26
7,CT,14857751.78
8,DC,248886.68
9,DE,2141255.46
10,FL,146731800.52
11,GA,164337364.89000002
12,GU,120991.67000000001
13,HI,3681033.5600000005
14,IA,34542639.08
15,ID,4807280.14
16,IL,64016736.370000005
17,IN,21636034.28
18,KS,13613643.93
19,KY,32626606.630000003
20,LA,36851596.900000006
21,MA,12934032.22
22,MD,20492055.02
23,ME,6650714.39
24,MI,42254057.22
25,MN,25983069.71
26,MO,35323847.27
27,MP,17412.47
28,MS,5528513.91
29,MT,8828328.3
30,NC,68462070.21
31,ND,3179008.43
32,NE,8002580.33
33,NH,34190117.07
34,NJ,41260628.660000004
35,NM,9932207.45
36,NV,49615373.42
37,NY,125764876.15
38,OH,87359786.85
39,OK,19296416.09
40,OR,26138394.54
41,PA,99607999.72
42,PR,0.0
43,RI,6167935.95
44,SC,50324954.94
45,SD,7628145.08
46,TN,12697588.88
47,TX,89885961.87
48,US,0.0
49,UT,17445162.669999998
50,VA,31293525.900000002
51,VI,857428.6
52,VT,5931123.72
53,WA,48555320.29
54,WI,44445327.59
55,WV,4108004.35
56,WY,18920999.840000004
